Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry
"Last Revised on: September 30, 2022"
Line,,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,"    Motor vehicles, bodies and trailers, and parts",9.822,10.642,10.760,11.296,12.171,13.369,14.790,16.623,17.810,19.375,20.099,20.068,20.279,20.785,21.133,21.682,22.745,24.231,26.414,28.671,30.081,31.445,33.272,34.722,36.180,37.979,39.684,41.353,41.055,41.369,43.342,46.164,48.563,50.760,54.489,53.575,51.466,51.890,54.090,56.659,57.971,56.600,57.505,58.479,59.415,60.093,63.119,67.144,72.691,77.991,82.590,87.083,90.851,93.590,95.393,97.326,99.772,100.589,101.218,101.558,101.041,99.117,95.212,94.431,95.317,100.000,105.123,110.167,113.830,115.319,117.328,120.747,120.873,118.677,117.680
21,"    Other transportation equipment",7.924,8.200,8.148,8.167,8.738,9.506,10.146,10.528,11.280,13.355,15.052,15.815,16.425,17.036,17.721,18.769,19.672,20.549,22.346,26.014,30.227,33.705,37.137,38.720,38.720,38.821,39.390,39.990,40.362,41.147,41.864,43.553,46.214,49.241,52.198,55.495,58.537,63.170,68.517,73.726,77.362,79.075,80.512,81.107,81.397,82.690,82.427,82.001,81.583,82.626,85.989,88.950,91.015,90.129,88.815,89.093,88.700,89.237,91.685,94.336,98.563,101.449,103.146,102.229,101.405,100.000,101.177,102.304,104.620,108.126,112.637,114.841,114.577,114.172,115.101
22,"    Furniture and related products",17.882,18.254,18.029,18.240,18.324,18.250,18.343,18.501,19.130,19.840,20.440,20.528,20.628,20.876,20.990,21.623,22.619,23.428,25.115,27.317,29.802,31.212,32.526,34.837,35.895,38.908,42.278,44.562,44.923,45.416,46.969,49.159,51.034,52.576,53.904,54.826,56.025,58.045,60.059,62.086,64.078,66.041,68.333,69.658,69.703,70.115,71.821,74.306,78.175,82.349,87.437,93.075,98.875,103.226,105.360,108.539,108.936,108.719,109.209,110.465,111.255,109.435,105.618,102.498,100.570,100.000,99.139,98.138,98.694,99.550,100.237,102.048,104.324,106.248,108.864
23,"    Miscellaneous manufacturing",10.185,10.944,11.117,11.512,12.177,13.469,14.619,15.003,15.418,16.198,16.870,17.305,17.778,18.463,19.153,20.040,20.686,21.681,23.035,24.871,26.987,28.883,30.659,32.236,33.263,34.663,37.006,39.498,40.862,42.986,44.713,46.727,49.089,51.325,53.774,56.130,57.521,59.576,61.939,63.131,64.964,66.243,68.026,69.483,70.931,72.327,71.969,72.003,73.034,74.904,76.303,78.299,80.220,82.229,83.673,85.137,85.742,87.639,89.753,92.079,93.768,94.939,95.522,96.236,98.031,100.000,101.004,101.567,102.382,102.932,101.984,102.966,104.099,104.814,106.109
24,"  Nondurable goods",15.891,16.695,17.054,17.319,17.818,18.280,18.826,19.379,19.794,20.487,21.236,21.579,21.837,22.369,22.980,23.724,24.501,25.540,27.118,29.117,30.703,32.294,33.945,35.562,36.875,38.210,39.568,41.579,43.292,44.932,46.565,48.258,49.891,51.448,53.032,54.287,55.030,56.242,57.589,58.301,58.912,60.871,62.669,64.675,66.579,68.283,69.602,70.909,72.659,74.590,76.236,78.155,79.945,81.630,83.053,84.447,85.386,86.431,87.805,89.595,92.730,95.223,96.472,97.398,98.379,100.000,102.067,104.139,106.450,108.752,110.118,111.898,114.469,116.376,119.055
25,"    Food and beverage and tobacco products",31.839,32.850,33.186,33.198,33.209,32.867,32.653,32.759,32.816,32.942,33.102,33.151,33.267,33.502,33.815,34.562,35.451,36.519,37.772,39.519,41.022,42.292,43.799,45.497,47.181,49.426,50.876,52.720,54.382,55.876,57.516,59.715,61.617,63.745,65.982,67.646,68.834,70.584,72.558,73.937,74.714,75.688,77.193,78.831,80.733,82.321,83.030,83.748,84.950,85.708,86.269,87.097,88.300,89.136,89.701,90.697,91.365,92.026,93.095,94.401,95.502,97.116,97.524,97.864,98.667,100.000,101.180,102.615,104.222,106.031,106.675,109.147,110.912,111.716,113.170
26,"    Textile mills and textile product mills",102.794,109.550,111.833,112.631,113.197,111.988,109.638,107.042,105.291,104.112,102.138,99.145,97.637,97.232,96.750,97.385,98.326,101.168,105.940,114.836,119.471,122.322,127.244,130.640,134.387,140.963,145.834,149.086,148.615,148.005,148.758,149.325,148.409,147.760,147.699,146.102,144.935,146.534,146.965,145.580,145.379,146.614,147.849,148.578,148.325,147.504,148.452,151.157,152.445,152.441,153.438,153.014,151.377,147.917,143.692,138.785,133.040,127.771,123.089,119.232,115.982,112.612,109.441,105.505,102.359,100.000,98.115,96.742,94.797,92.714,90.547,88.679,87.536,85.706,84.584
27,"    Apparel and leather and allied products",33.875,34.186,33.844,33.890,34.037,33.891,34.182,34.996,35.897,36.491,37.141,37.545,38.292,39.174,39.811,42.519,47.251,49.552,51.519,54.562,58.028,62.310,67.392,71.866,77.249,85.950,91.795,95.878,97.167,98.347,100.076,102.261,103.630,105.010,106.514,106.498,107.415,109.417,110.859,111.889,112.373,113.296,114.991,116.085,116.641,118.147,119.602,122.519,126.361,128.181,130.399,132.039,133.746,134.965,134.707,131.168,127.610,123.523,121.213,118.166,115.163,111.341,108.061,104.335,101.898,100.000,98.823,96.147,93.557,91.220,88.823,87.165,85.717,83.681,82.006
28,"    Paper products",25.155,26.450,27.101,27.547,28.603,29.274,30.176,31.618,33.097,35.868,38.516,39.350,40.097,40.985,41.926,43.261,44.758,46.906,50.769,55.610,59.214,61.359,64.283,66.807,67.813,68.701,70.528,74.159,77.815,81.367,84.426,87.812,91.365,94.922,96.579,97.577,98.269,100.014,103.013,104.929,105.610,108.329,113.668,119.953,123.043,123.904,123.950,123.847,124.098,124.874,124.851,124.833,122.603,121.420,119.490,117.379,115.229,112.117,109.660,109.578,108.069,105.890,102.196,100.374,99.449,100.000,99.372,100.653,101.156,101.188,100.369,98.079,98.756,99.232,100.834
29,"    Printing and related support activities",18.197,19.667,20.904,21.856,22.232,21.928,21.902,22.241,22.831,23.734,24.509,25.647,26.432,27.547,28.480,29.616,30.950,32.077,33.919,36.895,39.693,41.580,43.835,45.932,47.949,50.189,52.544,54.106,54.826,55.427,57.379,60.349,63.117,65.563,67.959,69.726,71.495,74.653,78.535,81.145,83.496,85.924,89.125,91.763,93.038,93.790,92.922,93.361,93.752,94.649,98.800,101.846,105.819,108.300,109.188,109.296,108.625,109.440,110.750,110.997,112.218,111.936,107.902,103.611,102.089,100.000,97.077,95.097,92.571,91.029,89.504,88.416,86.334,83.934,82.656
30,"    Petroleum and coal products",15.860,17.622,18.467,19.168,20.282,22.004,24.421,26.327,27.413,28.584,30.274,30.800,31.022,31.550,32.045,32.769,33.075,33.526,34.593,35.849,37.076,39.808,41.801,43.775,45.436,46.018,46.797,49.012,51.591,54.078,55.459,56.794,59.307,61.550,65.086,69.143,71.336,72.681,73.417,72.881,71.960,70.985,70.540,70.349,71.138,72.458,73.047,73.466,74.393,74.990,74.304,73.770,73.042,72.759,73.370,74.506,75.648,76.331,79.050,81.995,87.615,91.914,95.764,96.893,96.976,100.000,106.546,108.042,109.277,110.441,110.668,112.012,112.482,111.017,110.268
31,"    Chemical products",5.494,5.677,5.788,5.927,6.336,6.808,7.232,7.580,7.840,8.345,8.907,9.305,9.541,10.011,10.632,11.125,11.716,12.530,13.735,15.132,16.204,17.273,18.278,19.354,20.174,20.754,21.532,23.018,24.466,25.877,27.435,28.761,29.863,30.926,31.914,32.638,33.050,33.725,34.478,35.003,35.782,37.857,39.599,41.677,43.890,46.081,48.091,49.821,52.012,54.842,57.383,60.476,63.530,66.550,69.401,72.035,74.165,76.644,78.896,81.512,86.375,90.362,93.122,95.593,97.768,100.000,102.284,105.338,109.197,112.762,115.430,118.101,122.506,126.517,131.161
32,"    Plastics and rubber products",10.026,10.694,10.912,11.432,12.153,12.934,13.683,14.568,15.284,16.255,16.911,17.254,17.776,19.055,20.205,21.755,22.644,24.218,26.523,29.002,31.258,33.907,37.020,39.578,41.493,44.982,49.143,53.058,54.188,55.390,56.373,57.942,59.499,60.040,60.680,60.616,59.964,61.891,64.766,66.026,67.288,68.633,71.721,74.056,75.770,77.143,78.942,81.709,85.544,89.213,92.550,96.058,99.572,102.112,102.920,104.185,103.773,103.537,103.505,103.869,104.299,104.248,101.615,100.282,100.009,100.000,101.323,103.998,105.515,108.929,110.614,112.278,113.850,115.349,119.005
33,Wholesale trade,3.235,3.526,3.618,3.782,3.932,3.934,4.016,4.119,4.412,4.711,4.926,4.974,5.115,5.444,5.708,6.293,7.005,7.835,8.943,10.073,10.974,12.090,13.196,14.116,15.005,16.491,18.549,20.070,20.621,21.713,23.162,25.849,28.342,30.652,33.105,35.881,39.210,43.573,46.670,49.185,50.859,52.549,53.850,54.396,54.420,54.487,56.430,59.281,62.888,66.580,70.954,74.629,77.699,80.916,81.760,82.153,84.008,86.469,91.482,94.949,95.605,96.875,95.656,95.885,97.872,100.000,100.505,103.718,107.065,111.500,114.922,118.240,120.920,122.227,124.256
34,Retail trade,11.976,12.283,12.451,12.786,12.903,12.853,13.115,13.431,13.937,14.324,14.678,15.105,15.685,16.250,16.830,17.460,18.104,18.936,20.031,21.204,22.210,23.282,24.418,25.458,26.437,27.678,29.138,30.541,31.537,32.427,33.342,34.703,36.241,37.366,38.524,39.564,40.968,42.906,44.897,47.004,48.965,51.183,53.089,55.099,56.612,57.942,59.690,61.733,64.152,66.634,68.657,71.633,74.750,78.679,81.899,84.657,87.989,91.283,93.727,96.668,98.957,100.072,99.347,99.155,99.625,100.000,100.280,101.194,102.173,103.376,104.603,105.444,106.745,108.653,110.196
35,Transportation and warehousing,67.622,68.621,69.190,69.465,70.027,70.328,70.562,70.100,69.875,69.982,70.250,69.547,69.220,69.060,68.644,68.606,68.480,68.605,69.170,70.201,71.001,72.090,73.231,73.532,73.722,74.082,75.231,75.843,76.181,76.894,77.699,79.065,81.444,82.627,82.933,82.209,81.717,81.840,81.820,81.420,81.018,80.969,80.597,79.911,79.255,79.095,79.548,80.627,82.291,83.725,86.296,89.200,91.489,93.826,95.594,95.260,94.610,94.653,95.222,96.613,97.551,98.861,98.250,98.208,98.665,100.000,101.936,105.761,109.287,111.744,114.294,117.486,120.227,120.759,121.625
36,"  Air transportation",3.670,3.718,3.998,4.086,4.157,4.589,4.964,5.407,5.645,6.376,7.371,7.839,9.243,10.586,11.904,13.042,13.526,14.368,16.464,19.135,22.482,26.635,29.485,31.070,31.302,32.250,34.251,35.146,35.480,35.592,36.937,39.610,45.563,48.623,50.057,49.889,51.157,51.976,52.866,53.536,53.660,54.578,55.055,55.640,56.859,61.087,63.234,64.274,68.153,72.993,80.233,89.219,95.755,103.345,110.740,109.805,107.337,105.640,103.245,100.577,101.627,103.386,102.045,101.091,100.622,100.000,101.152,103.321,105.765,108.110,112.408,115.748,115.512,115.750,117.120
37,"  Railroad transportation",141.161,142.612,143.516,143.367,143.385,143.753,143.897,142.648,141.316,140.501,140.280,138.296,136.177,134.299,132.164,130.434,128.935,127.797,126.797,125.710,124.367,123.008,122.053,120.552,119.436,118.145,117.433,116.817,115.794,114.857,114.338,114.945,116.106,116.978,116.647,115.513,114.091,113.122,112.396,111.002,109.453,108.167,107.170,105.947,104.617,103.440,102.786,102.158,101.394,100.875,100.486,100.464,100.105,99.284,98.708,98.036,97.541,97.131,96.808,96.922,97.242,97.885,97.948,98.349,99.107,100.000,100.815,102.258,104.129,104.755,104.662,104.761,104.692,104.376,103.745
